hcp_id,rep_id,call_date,call_type,duration_min
HCP0000,REP028,2025-04-28,In-person,15
HCP0000,REP028,2025-09-01,Virtual,16
HCP0000,REP028,2025-10-27,In-person,14
HCP0000,REP028,2025-11-10,In-person,15
HCP0001,REP001,2025-01-13,Virtual,24
HCP0001,REP001,2025-01-27,In-person,16
HCP0001,REP001,2025-02-03,In-person,28
HCP0001,REP001,2025-02-10,In-person,23
HCP0001,REP001,2025-02-17,In-person,18
HCP0001,REP001,2025-02-24,In-person,23
HCP0001,REP001,2025-03-03,Virtual,19
HCP0001,REP001,2025-03-24,In-person,24
HCP0001,REP001,2025-03-31,In-person,11
HCP0001,REP001,2025-04-21,In-person,23
HCP0001,REP001,2025-04-28,Virtual,8
HCP0001,REP001,2025-05-05,Virtual,24
HCP0001,REP001,2025-05-12,In-person,15
HCP0001,REP001,2025-05-19,In-person,18
HCP0001,REP001,2025-05-26,In-person,17
HCP0001,REP001,2025-06-23,In-person,28
HCP0001,REP001,2025-07-07,Speaker Program,19
HCP0001,REP001,2025-08-04,In-person,20
HCP0001,REP001,2025-08-11,In-person,26
HCP0001,REP001,2025-08-18,Virtual,15
HCP0001,REP001,2025-08-25,Speaker Program,14
HCP0001,REP001,2025-09-22,Virtual,21
HCP0001,REP001,2025-09-29,In-person,11
HCP0001,REP001,2025-10-13,In-person,12
HCP0001,REP001,2025-11-17,Virtual,18
HCP0001,REP001,2025-12-01,In-person,15
HCP0001,REP001,2025-12-29,In-person,12
HCP0002,REP028,2025-01-06,In-person,24
HCP0002,REP028,2025-02-10,Virtual,18
HCP0002,REP028,2025-02-17,In-person,14
HCP0002,REP028,2025-03-03,In-person,12
HCP0002,REP028,2025-03-10,In-person,15
HCP0002,REP028,2025-03-31,In-person,19
HCP0002,REP028,2025-04-14,In-person,10
HCP0002,REP028,2025-04-28,In-person,14
HCP0002,REP028,2025-05-05,In-person,20
HCP0002,REP028,2025-05-26,Virtual,8
HCP0002,REP028,2025-07-21,In-person,11
HCP0002,REP028,2025-08-11,In-person,9
HCP0002,REP028,2025-08-18,Virtual,23
HCP0002,REP028,2025-09-08,In-person,23
HCP0002,REP028,2025-09-15,In-person,10
HCP0002,REP028,2025-10-06,Virtual,14
HCP0002,REP028,2025-10-20,In-person,26
HCP0002,REP028,2025-11-17,In-person,11
HCP0002,REP028,2025-11-24,In-person,20
HCP0002,REP028,2025-12-01,In-person,9
HCP0002,REP028,2025-12-22,Virtual,8
HCP0003,REP015,2025-01-06,Speaker Program,21
HCP0003,REP015,2025-05-12,Virtual,25
HCP0003,REP015,2025-05-19,Virtual,13
HCP0003,REP015,2025-06-09,In-person,23
HCP0003,REP015,2025-07-28,In-person,25
HCP0003,REP015,2025-09-08,In-person,24
HCP0003,REP015,2025-09-22,In-person,25
HCP0003,REP015,2025-10-27,Virtual,11
HCP0003,REP015,2025-12-15,Speaker Program,15
HCP0004,REP002,2025-02-03,Virtual,25
HCP0004,REP002,2025-03-24,Speaker Program,20
HCP0004,REP002,2025-09-08,Virtual,27
HCP0004,REP002,2025-10-27,In-person,28
HCP0004,REP002,2025-12-29,Virtual,27
HCP0005,REP008,2025-02-03,In-person,21
HCP0005,REP008,2025-02-24,In-person,10
HCP0005,REP008,2025-11-24,Virtual,10
HCP0006,REP024,2025-02-17,In-person,29
HCP0006,REP024,2025-10-13,In-person,20
HCP0006,REP024,2025-10-20,Speaker Program,29
HCP0006,REP024,2025-11-17,Speaker Program,9
HCP0006,REP024,2025-11-24,In-person,26
HCP0006,REP024,2025-12-22,In-person,17
HCP0007,REP035,2025-03-03,Virtual,11
HCP0007,REP035,2025-04-14,In-person,9
HCP0007,REP035,2025-04-28,In-person,13
HCP0007,REP035,2025-05-05,In-person,26
HCP0007,REP035,2025-05-12,In-person,11
HCP0007,REP035,2025-05-19,In-person,15
HCP0007,REP035,2025-06-23,Virtual,29
HCP0007,REP035,2025-08-04,In-person,28
HCP0007,REP035,2025-08-18,In-person,9
HCP0007,REP035,2025-08-25,In-person,12
HCP0007,REP035,2025-09-29,In-person,9
HCP0007,REP035,2025-11-10,In-person,14
HCP0007,REP035,2025-12-01,In-person,13
HCP0007,REP035,2025-12-15,In-person,17
HCP0008,REP013,2025-05-26,In-person,27
HCP0008,REP013,2025-06-09,In-person,17
HCP0008,REP013,2025-06-16,In-person,22
HCP0008,REP013,2025-08-04,In-person,12
HCP0008,REP013,2025-09-08,Virtual,15
HCP0009,REP016,2025-01-13,In-person,19
HCP0009,REP016,2025-01-20,Virtual,18
HCP0009,REP016,2025-02-17,Virtual,8
HCP0009,REP016,2025-02-24,In-person,9
HCP0009,REP016,2025-03-17,In-person,16
HCP0009,REP016,2025-05-19,In-person,19
HCP0009,REP016,2025-06-30,In-person,9
HCP0009,REP016,2025-07-21,In-person,25
HCP0009,REP016,2025-09-01,In-person,24
HCP0009,REP016,2025-09-08,Virtual,15
HCP0009,REP016,2025-09-15,In-person,17
HCP0009,REP016,2025-09-22,Virtual,13
HCP0009,REP016,2025-09-29,In-person,18
HCP0009,REP016,2025-11-10,Virtual,16
HCP0009,REP016,2025-11-17,In-person,18
HCP0009,REP016,2025-11-24,In-person,19
HCP0009,REP016,2025-12-15,Virtual,28
HCP0010,REP002,2025-02-10,In-person,23
HCP0010,REP002,2025-07-07,In-person,27
HCP0010,REP002,2025-08-11,In-person,20
HCP0011,REP028,2025-01-20,In-person,10
HCP0011,REP028,2025-01-27,In-person,26
HCP0011,REP028,2025-04-07,Virtual,24
HCP0011,REP028,2025-04-14,Virtual,11
HCP0011,REP028,2025-05-05,In-person,14
HCP0011,REP028,2025-05-26,In-person,14
HCP0011,REP028,2025-06-02,In-person,25
HCP0011,REP028,2025-06-23,In-person,27
HCP0011,REP028,2025-06-30,In-person,11
HCP0011,REP028,2025-07-07,In-person,27
HCP0011,REP028,2025-07-21,Virtual,20
HCP0011,REP028,2025-09-08,In-person,29
HCP0012,REP000,2025-01-06,In-person,24
HCP0012,REP000,2025-01-13,In-person,21
HCP0012,REP000,2025-01-20,Virtual,10
