hcp_id,month,rx_volume
HCP0000,2025-01-01,2.3
HCP0000,2025-02-01,2.4
HCP0000,2025-03-01,2.8
HCP0000,2025-04-01,2.5
HCP0000,2025-05-01,2.5
HCP0000,2025-06-01,2.6
HCP0000,2025-07-01,2.4
HCP0000,2025-08-01,2.5
HCP0000,2025-09-01,2.4
HCP0000,2025-10-01,2.2
HCP0000,2025-11-01,2.7
HCP0000,2025-12-01,2.3
HCP0001,2025-01-01,288.4
HCP0001,2025-02-01,305.9
HCP0001,2025-03-01,269.6
HCP0001,2025-04-01,279.3
HCP0001,2025-05-01,276.7
HCP0001,2025-06-01,228.3
HCP0001,2025-07-01,241.1
HCP0001,2025-08-01,284.9
HCP0001,2025-09-01,248.2
HCP0001,2025-10-01,218.9
HCP0001,2025-11-01,211.5
HCP0001,2025-12-01,252.0
HCP0002,2025-01-01,291.5
HCP0002,2025-02-01,333.9
HCP0002,2025-03-01,349.3
HCP0002,2025-04-01,355.8
HCP0002,2025-05-01,347.8
HCP0002,2025-06-01,324.4
HCP0002,2025-07-01,303.5
HCP0002,2025-08-01,298.7
HCP0002,2025-09-01,317.3
HCP0002,2025-10-01,319.1
HCP0002,2025-11-01,324.1
HCP0002,2025-12-01,371.9
HCP0003,2025-01-01,151.1
HCP0003,2025-02-01,154.0
HCP0003,2025-03-01,129.3
HCP0003,2025-04-01,129.8
HCP0003,2025-05-01,139.4
HCP0003,2025-06-01,140.1
HCP0003,2025-07-01,134.9
HCP0003,2025-08-01,131.8
HCP0003,2025-09-01,156.0
HCP0003,2025-10-01,132.9
HCP0003,2025-11-01,136.6
HCP0003,2025-12-01,140.8
HCP0004,2025-01-01,71.1
HCP0004,2025-02-01,72.1
HCP0004,2025-03-01,68.7
HCP0004,2025-04-01,71.7
HCP0004,2025-05-01,68.6
HCP0004,2025-06-01,68.3
HCP0004,2025-07-01,62.5
HCP0004,2025-08-01,64.3
HCP0004,2025-09-01,61.3
HCP0004,2025-10-01,57.7
HCP0004,2025-11-01,60.0
HCP0004,2025-12-01,68.9
HCP0005,2025-01-01,71.2
HCP0005,2025-02-01,69.7
HCP0005,2025-03-01,77.6
HCP0005,2025-04-01,64.0
HCP0005,2025-05-01,69.2
HCP0005,2025-06-01,64.4
HCP0005,2025-07-01,65.9
HCP0005,2025-08-01,57.3
HCP0005,2025-09-01,54.8
HCP0005,2025-10-01,60.6
HCP0005,2025-11-01,70.6
HCP0005,2025-12-01,67.6
HCP0006,2025-01-01,28.3
HCP0006,2025-02-01,36.3
HCP0006,2025-03-01,33.0
HCP0006,2025-04-01,34.2
HCP0006,2025-05-01,30.8
HCP0006,2025-06-01,26.5
HCP0006,2025-07-01,33.7
HCP0006,2025-08-01,29.2
HCP0006,2025-09-01,31.7
HCP0006,2025-10-01,31.2
HCP0006,2025-11-01,33.1
HCP0006,2025-12-01,28.1
HCP0007,2025-01-01,274.7
HCP0007,2025-02-01,334.9
HCP0007,2025-03-01,332.9
HCP0007,2025-04-01,349.2
HCP0007,2025-05-01,335.5
HCP0007,2025-06-01,302.3
HCP0007,2025-07-01,301.2
HCP0007,2025-08-01,323.5
HCP0007,2025-09-01,288.3
HCP0007,2025-10-01,276.7
HCP0007,2025-11-01,311.1
HCP0007,2025-12-01,280.4
HCP0008,2025-01-01,38.2
HCP0008,2025-02-01,35.4
HCP0008,2025-03-01,37.1
HCP0008,2025-04-01,40.5
HCP0008,2025-05-01,43.2
HCP0008,2025-06-01,47.2
HCP0008,2025-07-01,36.9
HCP0008,2025-08-01,36.8
HCP0008,2025-09-01,37.5
HCP0008,2025-10-01,37.3
HCP0008,2025-11-01,42.6
HCP0008,2025-12-01,38.2
HCP0009,2025-01-01,40.1
HCP0009,2025-02-01,46.1
HCP0009,2025-03-01,44.0
HCP0009,2025-04-01,42.0
HCP0009,2025-05-01,41.8
HCP0009,2025-06-01,48.5
HCP0009,2025-07-01,39.0
HCP0009,2025-08-01,33.9
HCP0009,2025-09-01,42.1
HCP0009,2025-10-01,37.1
HCP0009,2025-11-01,38.7
HCP0009,2025-12-01,41.0
HCP0010,2025-01-01,150.5
HCP0010,2025-02-01,125.4
HCP0010,2025-03-01,121.4
HCP0010,2025-04-01,143.8
HCP0010,2025-05-01,131.2
HCP0010,2025-06-01,126.1
HCP0010,2025-07-01,141.8
HCP0010,2025-08-01,122.4
HCP0010,2025-09-01,108.1
HCP0010,2025-10-01,132.4
HCP0010,2025-11-01,126.2
HCP0010,2025-12-01,128.9
HCP0011,2025-01-01,36.5
HCP0011,2025-02-01,39.2
HCP0011,2025-03-01,42.2
HCP0011,2025-04-01,40.3
HCP0011,2025-05-01,46.6
HCP0011,2025-06-01,42.6
HCP0011,2025-07-01,40.4
HCP0011,2025-08-01,42.2
HCP0011,2025-09-01,37.6
HCP0011,2025-10-01,40.3
HCP0011,2025-11-01,39.9
HCP0011,2025-12-01,43.6
HCP0012,2025-01-01,569.4
HCP0012,2025-02-01,582.7
HCP0012,2025-03-01,540.6
HCP0012,2025-04-01,525.2
HCP0012,2025-05-01,536.3
HCP0012,2025-06-01,558.3
HCP0012,2025-07-01,529.5
HCP0012,2025-08-01,530.7
HCP0012,2025-09-01,475.6
HCP0012,2025-10-01,450.6
HCP0012,2025-11-01,494.2
HCP0012,2025-12-01,499.7
HCP0013,2025-01-01,238.8
HCP0013,2025-02-01,250.9
HCP0013,2025-03-01,230.6
HCP0013,2025-04-01,243.8
HCP0013,2025-05-01,238.3
HCP0013,2025-06-01,221.8
HCP0013,2025-07-01,215.0
HCP0013,2025-08-01,215.7
HCP0013,2025-09-01,242.0
HCP0013,2025-10-01,228.7
HCP0013,2025-11-01,247.8
HCP0013,2025-12-01,247.8
HCP0014,2025-01-01,320.8
HCP0014,2025-02-01,313.0
HCP0014,2025-03-01,336.2
HCP0014,2025-04-01,296.4
HCP0014,2025-05-01,304.4
HCP0014,2025-06-01,269.7
HCP0014,2025-07-01,265.4
HCP0014,2025-08-01,301.7
HCP0014,2025-09-01,278.9
HCP0014,2025-10-01,287.9
HCP0014,2025-11-01,313.8
HCP0014,2025-12-01,303.4
HCP0015,2025-01-01,81.9
HCP0015,2025-02-01,81.6
HCP0015,2025-03-01,89.2
HCP0015,2025-04-01,78.9
HCP0015,2025-05-01,83.9
HCP0015,2025-06-01,78.0
HCP0015,2025-07-01,81.2
HCP0015,2025-08-01,80.2
HCP0015,2025-09-01,76.5
HCP0015,2025-10-01,84.2
HCP0015,2025-11-01,82.1
HCP0015,2025-12-01,78.0
HCP0016,2025-01-01,167.4
HCP0016,2025-02-01,165.8
HCP0016,2025-03-01,181.4
HCP0016,2025-04-01,143.5
HCP0016,2025-05-01,178.7
HCP0016,2025-06-01,140.6
HCP0016,2025-07-01,157.2
HCP0016,2025-08-01,154.1
HCP0016,2025-09-01,150.1
HCP0016,2025-10-01,160.8
HCP0016,2025-11-01,137.4
HCP0016,2025-12-01,141.2
HCP0017,2025-01-01,64.8
HCP0017,2025-02-01,70.5
HCP0017,2025-03-01,76.0
HCP0017,2025-04-01,79.1
HCP0017,2025-05-01,68.0
HCP0017,2025-06-01,72.4
HCP0017,2025-07-01,80.2
HCP0017,2025-08-01,61.8
HCP0017,2025-09-01,66.1
HCP0017,2025-10-01,70.9
HCP0017,2025-11-01,66.6
HCP0017,2025-12-01,65.8
HCP0018,2025-01-01,54.0
HCP0018,2025-02-01,56.6
HCP0018,2025-03-01,49.7
HCP0018,2025-04-01,50.9
HCP0018,2025-05-01,53.7
HCP0018,2025-06-01,46.0
HCP0018,2025-07-01,51.7
HCP0018,2025-08-01,52.6
HCP0018,2025-09-01,42.2
HCP0018,2025-10-01,41.8
HCP0018,2025-11-01,41.9
HCP0018,2025-12-01,46.9
HCP0019,2025-01-01,95.8
HCP0019,2025-02-01,120.4
HCP0019,2025-03-01,102.9
HCP0019,2025-04-01,104.9
HCP0019,2025-05-01,112.0
HCP0019,2025-06-01,97.1
HCP0019,2025-07-01,103.6
HCP0019,2025-08-01,104.6
HCP0019,2025-09-01,123.2
HCP0019,2025-10-01,104.7
HCP0019,2025-11-01,88.5
HCP0019,2025-12-01,114.5
HCP0020,2025-01-01,100.1
HCP0020,2025-02-01,96.2
HCP0020,2025-03-01,95.8
HCP0020,2025-04-01,99.0
HCP0020,2025-05-01,89.0
HCP0020,2025-06-01,90.8
HCP0020,2025-07-01,87.8
HCP0020,2025-08-01,88.8
HCP0020,2025-09-01,85.1
HCP0020,2025-10-01,95.9
HCP0020,2025-11-01,103.2
HCP0020,2025-12-01,102.3
HCP0021,2025-01-01,525.1
HCP0021,2025-02-01,538.7
HCP0021,2025-03-01,584.2
HCP0021,2025-04-01,531.6
HCP0021,2025-05-01,556.6
HCP0021,2025-06-01,496.3
HCP0021,2025-07-01,536.7
HCP0021,2025-08-01,424.5
HCP0021,2025-09-01,540.2
HCP0021,2025-10-01,554.5
HCP0021,2025-11-01,486.0
HCP0021,2025-12-01,525.4
HCP0022,2025-01-01,39.8
HCP0022,2025-02-01,40.5
HCP0022,2025-03-01,47.9
HCP0022,2025-04-01,43.4
HCP0022,2025-05-01,38.3
HCP0022,2025-06-01,38.5
HCP0022,2025-07-01,33.0
HCP0022,2025-08-01,36.3
HCP0022,2025-09-01,35.2
HCP0022,2025-10-01,35.0
HCP0022,2025-11-01,38.1
HCP0022,2025-12-01,37.0
HCP0023,2025-01-01,628.1
HCP0023,2025-02-01,688.6
HCP0023,2025-03-01,644.6
HCP0023,2025-04-01,702.8
HCP0023,2025-05-01,524.3
HCP0023,2025-06-01,615.5
HCP0023,2025-07-01,665.1
HCP0023,2025-08-01,693.2
HCP0023,2025-09-01,625.9
HCP0023,2025-10-01,574.8
HCP0023,2025-11-01,563.2
HCP0023,2025-12-01,703.7
HCP0024,2025-01-01,246.9
HCP0024,2025-02-01,260.1
HCP0024,2025-03-01,303.8
HCP0024,2025-04-01,200.0
HCP0024,2025-05-01,259.3
HCP0024,2025-06-01,224.4
HCP0024,2025-07-01,269.8
HCP0024,2025-08-01,274.9
HCP0024,2025-09-01,251.2
HCP0024,2025-10-01,293.4
HCP0024,2025-11-01,252.2
HCP0024,2025-12-01,295.6
HCP0025,2025-01-01,461.4
HCP0025,2025-02-01,567.6
HCP0025,2025-03-01,465.9
HCP0025,2025-04-01,533.7
HCP0025,2025-05-01,457.0
HCP0025,2025-06-01,469.4
HCP0025,2025-07-01,512.8
HCP0025,2025-08-01,534.8
HCP0025,2025-09-01,497.5
HCP0025,2025-10-01,482.0
HCP0025,2025-11-01,446.8
HCP0025,2025-12-01,504.4
HCP0026,2025-01-01,28.8
HCP0026,2025-02-01,28.0
HCP0026,2025-03-01,34.4
HCP0026,2025-04-01,28.7
HCP0026,2025-05-01,29.9
HCP0026,2025-06-01,30.3
HCP0026,2025-07-01,25.5
HCP0026,2025-08-01,25.5
HCP0026,2025-09-01,24.0
HCP0026,2025-10-01,26.6
HCP0026,2025-11-01,30.2
HCP0026,2025-12-01,28.5
HCP0027,2025-01-01,365.5
HCP0027,2025-02-01,352.4
HCP0027,2025-03-01,338.7
HCP0027,2025-04-01,324.7
HCP0027,2025-05-01,400.4
HCP0027,2025-06-01,368.4
HCP0027,2025-07-01,316.3
HCP0027,2025-08-01,309.8
HCP0027,2025-09-01,309.6
HCP0027,2025-10-01,258.0
HCP0027,2025-11-01,323.2
HCP0027,2025-12-01,304.3
HCP0028,2025-01-01,434.7
HCP0028,2025-02-01,409.7
HCP0028,2025-03-01,462.9
HCP0028,2025-04-01,419.3
HCP0028,2025-05-01,461.3
HCP0028,2025-06-01,483.9
HCP0028,2025-07-01,436.5
