rep_id,quarter,quota_volume,actual_volume,attainment_pct,payout_tier
REP025,2025-Q1,5483.2,6535.6,119.2,Accelerator (150%)
REP022,2025-Q1,6019.3,7140.5,118.6,Accelerator (150%)
REP029,2025-Q1,13230.4,15691.1,118.6,Accelerator (150%)
REP020,2025-Q1,14999.6,17640.2,117.6,Accelerator (150%)
REP008,2025-Q1,9471.8,11132.5,117.5,Accelerator (150%)
REP001,2025-Q1,9885.1,11494.2,116.3,Accelerator (150%)
REP035,2025-Q1,5079.7,5815.1,114.5,Accelerator (150%)
REP015,2025-Q1,13630.4,15206.7,111.6,Accelerator (150%)
REP033,2025-Q1,12386.0,13740.6,110.9,Accelerator (150%)
REP014,2025-Q1,12011.5,13165.1,109.6,Full Payout (100%)
REP005,2025-Q1,7054.9,7727.5,109.5,Full Payout (100%)
REP010,2025-Q1,10968.7,11916.4,108.6,Full Payout (100%)
REP007,2025-Q1,6124.5,6618.5,108.1,Full Payout (100%)
REP036,2025-Q1,12009.9,12734.8,106.0,Full Payout (100%)
REP038,2025-Q1,1797.0,1881.6,104.7,Full Payout (100%)
REP002,2025-Q1,7848.6,8159.9,104.0,Full Payout (100%)
REP012,2025-Q1,13006.4,13275.2,102.1,Full Payout (100%)
REP023,2025-Q1,10302.7,10489.2,101.8,Full Payout (100%)
REP018,2025-Q1,7389.3,7505.5,101.6,Full Payout (100%)
REP030,2025-Q1,8328.2,8258.9,99.2,Partial Payout (50%)
REP031,2025-Q1,12408.6,12174.3,98.1,Partial Payout (50%)
REP013,2025-Q1,8991.5,8781.6,97.7,Partial Payout (50%)
REP016,2025-Q1,14866.4,14305.8,96.2,Partial Payout (50%)
REP017,2025-Q1,6810.8,6532.6,95.9,Partial Payout (50%)
REP009,2025-Q1,16741.3,15935.3,95.2,Partial Payout (50%)
REP037,2025-Q1,12322.4,11722.4,95.1,Partial Payout (50%)
REP026,2025-Q1,12038.7,10999.2,91.4,Partial Payout (50%)
REP039,2025-Q1,16668.2,14646.9,87.9,Partial Payout (50%)
REP024,2025-Q1,17423.2,15230.5,87.4,Partial Payout (50%)
REP000,2025-Q1,13435.6,11596.1,86.3,Partial Payout (50%)
REP021,2025-Q1,23278.8,20010.9,86.0,Partial Payout (50%)
REP027,2025-Q1,12322.5,10587.7,85.9,Partial Payout (50%)
REP019,2025-Q1,11743.0,10076.8,85.8,Partial Payout (50%)
REP028,2025-Q1,19332.8,16555.0,85.6,Partial Payout (50%)
REP032,2025-Q1,9738.5,8266.9,84.9,Partial Payout (50%)
REP003,2025-Q1,10032.8,8333.6,83.1,Partial Payout (50%)
REP006,2025-Q1,11281.6,9168.5,81.3,Partial Payout (50%)
REP011,2025-Q1,12935.2,10517.8,81.3,Partial Payout (50%)
REP034,2025-Q1,9380.1,7614.7,81.2,Partial Payout (50%)
REP004,2025-Q1,9867.0,7983.6,80.9,Partial Payout (50%)
REP003,2025-Q2,7038.3,8418.7,119.6,Accelerator (150%)
REP016,2025-Q2,11679.4,13755.0,117.8,Accelerator (150%)
REP005,2025-Q2,6583.7,7739.9,117.6,Accelerator (150%)
REP006,2025-Q2,7854.7,8999.3,114.6,Accelerator (150%)
REP009,2025-Q2,13729.4,15519.1,113.0,Accelerator (150%)
REP022,2025-Q2,6375.0,7170.3,112.5,Accelerator (150%)
REP019,2025-Q2,8687.6,9651.1,111.1,Accelerator (150%)
REP007,2025-Q2,6036.3,6693.1,110.9,Accelerator (150%)
REP011,2025-Q2,9447.3,10387.5,110.0,Full Payout (100%)
REP029,2025-Q2,14182.2,15426.2,108.8,Full Payout (100%)
REP013,2025-Q2,7803.6,8396.2,107.6,Full Payout (100%)
REP023,2025-Q2,9428.5,10124.4,107.4,Full Payout (100%)
REP039,2025-Q2,13900.1,14866.9,107.0,Full Payout (100%)
REP026,2025-Q2,10116.3,10807.5,106.8,Full Payout (100%)
REP010,2025-Q2,11537.2,12228.5,106.0,Full Payout (100%)
REP037,2025-Q2,10731.3,11360.4,105.9,Full Payout (100%)
REP031,2025-Q2,11718.5,12360.1,105.5,Full Payout (100%)
REP015,2025-Q2,14393.9,15129.0,105.1,Full Payout (100%)
REP001,2025-Q2,11171.8,11668.9,104.4,Full Payout (100%)
REP030,2025-Q2,7989.5,8300.2,103.9,Full Payout (100%)
REP038,2025-Q2,1937.6,1986.1,102.5,Full Payout (100%)
REP028,2025-Q2,17360.4,16554.2,95.4,Partial Payout (50%)
REP017,2025-Q2,7025.8,6573.3,93.6,Partial Payout (50%)
REP012,2025-Q2,14592.3,13586.1,93.1,Partial Payout (50%)
REP008,2025-Q2,11848.1,10902.1,92.0,Partial Payout (50%)
REP004,2025-Q2,8782.2,7953.4,90.6,Partial Payout (50%)
REP035,2025-Q2,6523.6,5825.9,89.3,Partial Payout (50%)
REP032,2025-Q2,9211.0,8156.1,88.5,Partial Payout (50%)
REP002,2025-Q2,9051.1,7915.9,87.5,Partial Payout (50%)
REP020,2025-Q2,20629.8,18037.2,87.4,Partial Payout (50%)
REP000,2025-Q2,13103.4,11436.9,87.3,Partial Payout (50%)
REP033,2025-Q2,15769.7,13766.4,87.3,Partial Payout (50%)
REP036,2025-Q2,14497.0,12582.8,86.8,Partial Payout (50%)
REP025,2025-Q2,7476.2,6429.3,86.0,Partial Payout (50%)
REP024,2025-Q2,17396.1,14839.1,85.3,Partial Payout (50%)
REP014,2025-Q2,15352.2,13028.7,84.9,Partial Payout (50%)
REP027,2025-Q2,12510.0,10579.0,84.6,Partial Payout (50%)
REP018,2025-Q2,8938.4,7428.0,83.1,Partial Payout (50%)
REP034,2025-Q2,8943.0,7339.1,82.1,Partial Payout (50%)
REP021,2025-Q2,23775.0,19483.8,82.0,Partial Payout (50%)
REP026,2025-Q3,8306.7,9824.9,118.3,Accelerator (150%)
REP022,2025-Q3,5974.8,6862.7,114.9,Accelerator (150%)
REP035,2025-Q3,4773.9,5379.7,112.7,Accelerator (150%)
REP006,2025-Q3,7349.2,8269.8,112.5,Accelerator (150%)
REP011,2025-Q3,8955.4,9889.9,110.4,Accelerator (150%)
REP038,2025-Q3,1594.5,1748.2,109.6,Full Payout (100%)
REP012,2025-Q3,11385.1,12453.0,109.4,Full Payout (100%)
REP005,2025-Q3,6415.5,7011.7,109.3,Full Payout (100%)
REP033,2025-Q3,12280.5,13248.0,107.9,Full Payout (100%)
REP016,2025-Q3,11956.3,12872.8,107.7,Full Payout (100%)
REP024,2025-Q3,13653.0,14624.5,107.1,Full Payout (100%)
REP021,2025-Q3,17214.6,18402.9,106.9,Full Payout (100%)
REP025,2025-Q3,5785.7,6159.7,106.5,Full Payout (100%)
REP036,2025-Q3,11344.6,11917.1,105.0,Full Payout (100%)
REP002,2025-Q3,7111.2,7456.3,104.9,Full Payout (100%)
REP023,2025-Q3,9590.8,9921.8,103.5,Full Payout (100%)
REP009,2025-Q3,14063.4,14506.1,103.1,Full Payout (100%)
REP037,2025-Q3,10412.2,10539.0,101.2,Full Payout (100%)
REP034,2025-Q3,6986.0,7043.0,100.8,Full Payout (100%)
REP010,2025-Q3,10999.8,10973.3,99.8,Partial Payout (50%)
REP032,2025-Q3,7561.4,7463.9,98.7,Partial Payout (50%)
REP019,2025-Q3,9056.4,8904.1,98.3,Partial Payout (50%)
REP003,2025-Q3,7778.7,7542.9,97.0,Partial Payout (50%)
REP031,2025-Q3,11932.0,11547.0,96.8,Partial Payout (50%)
REP018,2025-Q3,7219.1,6957.1,96.4,Partial Payout (50%)
REP004,2025-Q3,7633.3,7257.3,95.1,Partial Payout (50%)
REP013,2025-Q3,8555.8,8080.4,94.4,Partial Payout (50%)
REP039,2025-Q3,14750.4,13883.3,94.1,Partial Payout (50%)
REP001,2025-Q3,11961.8,11152.9,93.2,Partial Payout (50%)
REP029,2025-Q3,15391.9,14236.5,92.5,Partial Payout (50%)
REP027,2025-Q3,11108.3,10240.3,92.2,Partial Payout (50%)
REP030,2025-Q3,8661.6,7877.6,90.9,Partial Payout (50%)
REP015,2025-Q3,16182.2,14127.1,87.3,Partial Payout (50%)
REP017,2025-Q3,7023.5,5997.4,85.4,Partial Payout (50%)
REP008,2025-Q3,12146.7,10219.9,84.1,Partial Payout (50%)
REP000,2025-Q3,12719.5,10441.9,82.1,Partial Payout (50%)
REP007,2025-Q3,7529.9,6177.5,82.0,Partial Payout (50%)
REP020,2025-Q3,20055.1,16381.3,81.7,Partial Payout (50%)
REP014,2025-Q3,15339.5,12383.6,80.7,Partial Payout (50%)
REP028,2025-Q3,19384.6,15604.8,80.5,Partial Payout (50%)
REP009,2025-Q4,12544.9,15013.1,119.7,Accelerator (150%)
REP004,2025-Q4,6313.8,7495.5,118.7,Accelerator (150%)
REP026,2025-Q4,8462.8,9998.3,118.1,Accelerator (150%)
REP002,2025-Q4,6324.4,7426.7,117.4,Accelerator (150%)
REP038,2025-Q4,1598.1,1823.2,114.1,Accelerator (150%)
REP005,2025-Q4,6369.7,7255.4,113.9,Accelerator (150%)
REP012,2025-Q4,11142.0,12566.1,112.8,Accelerator (150%)
REP023,2025-Q4,9099.2,10220.1,112.3,Accelerator (150%)
REP001,2025-Q4,9698.6,10866.9,112.0,Accelerator (150%)
